CDS_CODE	COUNTY	DISTRICT	SCHOOL	HISPANIC	AM_IND	ASIAN	PAC_ISLD	FILIPINO	AFRICAN_AM	WHITE	TWO_MORE_RACES	NOT_REPORTED	TOTAL	YEAR
01100170109835	Alameda	Alameda County Office of Education	FAME Public Charter	12	0	14	0	0	2	40	0	3	71	1112
01100170112607	Alameda	Alameda County Office of Education	Envision Academy for Arts & Technology	11	0	2	0	0	35	2	0	2	52	1112
01100170118489	Alameda	Alameda County Office of Education	Aspire California College Preparatory Academy	24	0	1	0	2	11	0	0	0	38	1112
01100170130401	Alameda	Alameda County Office of Education	Alameda County Juvenile Hall/Court	3	0	1	0	0	20	1	3	0	28	1112
01100170130419	Alameda	Alameda County Office of Education	Alameda County Community	26	0	3	2	1	5	9	0	0	46	1112
01100170130427	Alameda	Alameda County Office of Education	Alameda County Opportunity	16	0	2	0	0	8	2	0	0	28	1112
01316170131763	Alameda	California School for the Deaf-Fremont (State Spec	California School for the Deaf-Fremont	14	0	3	1	2	7	15	1	0	43	1112
01611190106401	Alameda	Alameda Unified	Alameda Science and Technology Institute	4	0	22	0	5	4	3	0	0	38	1112
01611190130229	Alameda	Alameda Unified	Alameda High	35	2	209	6	26	18	138	2	0	436	1112
01611190130609	Alameda	Alameda Unified	Alameda Community Learning Center	7	0	6	0	4	2	15	0	1	35	1112
01611190130625	Alameda	Alameda Unified	Bay Area School of Enterprise	26	1	1	1	0	10	2	0	5	46	1112
01611190132878	Alameda	Alameda Unified	Encinal High	39	1	72	7	28	39	49	1	0	236	1112
01611190134304	Alameda	Alameda Unified	Island High (Continuation)	17	1	12	0	7	18	10	2	0	67	1112
01611270130294	Alameda	Albany City Unified	MacGregor High (Continuation)	9	0	2	0	0	5	9	2	0	27	1112
01611270130450	Alameda	Albany City Unified	Albany High	51	1	97	1	3	12	95	31	0	291	1112
01611430000001	Alameda	Berkeley Unified	Nonpublic, Nonsectarian Schools	2	0	0	0	0	1	4	0	0	7	1112
01611430131177	Alameda	Berkeley Unified	Berkeley High	141	1	67	2	6	172	271	75	28	763	1112
01611430134924	Alameda	Berkeley Unified	Berkeley Technology Academy	3	1	0	0	0	25	0	1	3	33	1112
01611500000001	Alameda	Castro Valley Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	0	1	0	0	1	1112
01611500132225	Alameda	Castro Valley Unified	Castro Valley High	144	2	155	3	14	30	254	60	4	666	1112
01611500135533	Alameda	Castro Valley Unified	Redwood Continuation High	19	0	6	0	0	5	23	8	1	62	1112
01611680132746	Alameda	Emery Unified	Emery Secondary	3	0	6	0	1	19	2	0	0	31	1112
