CDS_CODE	COUNTY	DISTRICT	SCHOOL	HISPANIC	AM_IND	ASIAN	PAC_ISLD	FILIPINO	AFRICAN_AM	WHITE	TWO_MORE_RACES	NOT_REPORTED	TOTAL	YEAR
01100170109835	Alameda	Alameda County Office of Education	FAME Public Charter	9	0	10	1	4	3	25	0	2	54	0910
01100170112607	Alameda	Alameda County Office of Education	Envision Academy for Arts & Technology	5	0	0	0	0	16	3	0	2	26	0910
01100170130401	Alameda	Alameda County Office of Education	Alameda County Juvenile Hall/Court	1	0	0	0	0	2	0	0	0	3	0910
01100170130419	Alameda	Alameda County Office of Education	Alameda County Community	21	0	3	0	1	2	5	0	2	34	0910
01100170130427	Alameda	Alameda County Office of Education	Alameda County Opportunity	15	0	0	0	0	5	0	0	2	22	0910
01316170131763	Alameda	California School for the Deaf-Fremont (State Spec	California School for the Deaf-Fremont	6	0	4	0	1	5	18	0	0	34	0910
01611190000001	Alameda	Alameda City Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	0	1	0	0	1	0910
01611190106401	Alameda	Alameda City Unified	Alameda Science and Technology Institute	0	0	20	0	2	1	1	0	0	24	0910
01611190130229	Alameda	Alameda City Unified	Alameda High	34	1	213	1	20	26	120	0	1	416	0910
01611190130625	Alameda	Alameda City Unified	Bay Area School of Enterprise	10	0	2	0	0	10	3	0	0	25	0910
01611190132878	Alameda	Alameda City Unified	Encinal High	37	0	63	3	35	43	52	0	3	236	0910
01611190134304	Alameda	Alameda City Unified	Island High (Continuation)	17	2	6	3	5	21	21	0	0	75	0910
01611270130294	Alameda	Albany City Unified	MacGregor High (Continuation)	3	1	3	0	1	1	3	0	0	12	0910
01611270130450	Alameda	Albany City Unified	Albany High	1	1	131	2	3	26	113	1	31	309	0910
01611430000001	Alameda	Berkeley Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	1	3	1	0	5	0910
01611430131177	Alameda	Berkeley Unified	Berkeley High	110	2	57	3	3	174	239	48	41	677	0910
01611430134924	Alameda	Berkeley Unified	Berkeley Technology Academy	10	1	1	0	0	33	3	1	2	51	0910
01611500000001	Alameda	Castro Valley Unified	Nonpublic, Nonsectarian Schools	1	0	0	0	1	0	1	0	0	3	0910
01611500102194	Alameda	Castro Valley Unified	Redwood Alternative High	5	0	1	0	1	1	10	3	0	21	0910
01611500132225	Alameda	Castro Valley Unified	Castro Valley High	109	0	157	3	14	39	302	71	0	695	0910
01611500135533	Alameda	Castro Valley Unified	Redwood Continuation High	21	0	5	2	1	7	30	2	0	68	0910
01611680132746	Alameda	Emery Unified	Emery Secondary	10	0	12	1	1	27	2	0	0	53	0910
