CDS_CODE	COUNTY	DISTRICT	SCHOOL	HISPANIC	AM_IND	ASIAN	PAC_ISLD	FILIPINO	AFRICAN_AM	WHITE	TWO_MORE_RACES	NOT_REPORTED	TOTAL	YEAR
01100170109835	Alameda	Alameda County Office of Education	FAME Public Charter	9	1	15	1	2	9	24	0	6	67	0809
01100170130401	Alameda	Alameda County Office of Education	Alameda County Juvenile Hall/Court	1	0	0	0	0	3	1	0	0	5	0809
01100170130419	Alameda	Alameda County Office of Education	Alameda County Community	17	0	1	0	1	6	4	1	0	30	0809
01100170130427	Alameda	Alameda County Office of Education	Alameda County Opportunity	12	1	0	0	1	10	1	0	0	25	0809
01316170131763	Alameda	California School for the Deaf-Fremont (State Spec	California School for the Deaf-Fremont	0	0	2	0	0	4	15	0	0	21	0809
01611190000001	Alameda	Alameda City Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	1	0	0	0	1	0809
01611190106401	Alameda	Alameda City Unified	Alameda Science and Technology Institute	1	0	8	0	2	1	0	0	0	12	0809
01611190130229	Alameda	Alameda City Unified	Alameda High	37	1	199	1	24	21	131	0	0	414	0809
01611190130609	Alameda	Alameda City Unified	Alameda Community Learning Center	1	0	3	0	1	3	20	0	0	28	0809
01611190130625	Alameda	Alameda City Unified	Bay Area School of Enterprise	4	0	0	0	0	1	2	0	0	7	0809
01611190132878	Alameda	Alameda City Unified	Encinal High	26	1	67	3	39	32	40	0	4	212	0809
01611190134304	Alameda	Alameda City Unified	Island High (Continuation)	16	0	5	4	9	8	18	0	1	61	0809
01611270130294	Alameda	Albany City Unified	MacGregor High (Continuation)	4	0	3	1	1	3	5	0	1	18	0809
01611270130450	Alameda	Albany City Unified	Albany High	37	1	118	3	4	8	92	18	5	286	0809
01611276090161	Alameda	Albany City Unified	Albany Middle	2	0	3	0	0	0	3	0	0	8	0809
01611430000001	Alameda	Berkeley Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	1	2	0	0	3	0809
01611430131177	Alameda	Berkeley Unified	Berkeley High	71	0	61	2	1	192	261	0	119	707	0809
01611430134924	Alameda	Berkeley Unified	Berkeley Technology Academy	5	0	1	1	0	19	0	0	3	29	0809
01611500102194	Alameda	Castro Valley Unified	Redwood Alternative High	10	0	3	0	1	3	17	0	0	34	0809
01611500132225	Alameda	Castro Valley Unified	Castro Valley High	83	5	182	5	18	29	308	0	13	643	0809
01611500135533	Alameda	Castro Valley Unified	Redwood Continuation High	18	0	4	0	1	8	22	0	1	54	0809
01611680132746	Alameda	Emery Unified	Emery Secondary	5	0	8	1	1	35	1	0	4	55	0809
01611760130062	Alameda	Fremont Unified	American High	37	0	204	8	53	17	100	1	0	420	0809
01611760130138	Alameda	Fremont Unified	Robertson High (Continuation)	10	1	8	0	6	9	20	2	0	56	0809
01611760130435	Alameda	Fremont Unified	Vista Alternative	5	0	0	0	0	0	11	0	0	16	0809
01611760130534	Alameda	Fremont Unified	Circle of Independent Learning	5	0	6	0	2	3	13	2	1	32	0809
01611760134270	Alameda	Fremont Unified	Irvington High	41	1	222	9	19	12	147	3	0	454	0809
01611760134452	Alameda	Fremont Unified	John F. Kennedy High	77	1	55	2	23	9	103	0	1	271	0809
01611760135244	Alameda	Fremont Unified	Mission San Jose High	7	0	408	2	9	6	84	1	1	518	0809
01611760138693	Alameda	Fremont Unified	Washington High	62	1	133	2	37	15	168	1	0	419	0809
01611920000001	Alameda	Hayward Unified	Nonpublic, Nonsectarian Schools	4	1	4	0	0	3	1	0	0	13	0809
01611920108670	Alameda	Hayward Unified	Leadership Public Schools - Hayward	29	0	6	4	6	20	8	0	0	73	0809
01611920133009	Alameda	Hayward Unified	Brenkwitz High	59	3	5	6	1	28	10	1	0	113	0809
01611920133629	Alameda	Hayward Unified	Hayward High	162	0	25	9	14	70	57	0	0	337	0809
